Team,Match,Alliance,Time,X,Y
649,1,red,0,2.83,14.3
649,1,red,0.1,2.83,14.26
649,1,red,0.2,2.74,14.25
649,1,red,0.3,2.77,14.23
649,1,red,0.4,2.78,14.21
649,1,red,0.5,2.73,14.25
649,1,red,0.6,2.77,14.2
649,1,red,0.7,2.79,14.2
649,1,red,0.8,2.85,14.18
649,1,red,0.9,2.85,14.18
649,1,red,1.0,2.89,14.19
649,1,red,1.1,2.92,14.15
649,1,red,1.2,2.91,14.18
649,1,red,1.3,2.9,14.17
649,1,red,1.4,2.93,14.18
649,1,red,1.5,2.9,14.19
649,1,red,1.6,2.93,14.18
649,1,red,1.7,2.94,14.19
649,1,red,1.8,2.87,14.17
649,1,red,1.9,2.84,14.16
649,1,red,2.0,2.81,14.13
649,1,red,2.1,2.86,14.1
649,1,red,2.2,2.79,14.14
649,1,red,2.3,2.79,14.14
649,1,red,2.4,2.86,14.14
649,1,red,2.5,2.87,14.19
649,1,red,2.6,2.95,14.25
649,1,red,2.7,2.94,14.28
649,1,red,2.8,2.91,14.24
649,1,red,2.9,2.85,14.25
649,1,red,3.0,2.8,14.25
649,1,red,3.1,2.79,14.21
649,1,red,3.2,2.63,14.18
649,1,red,3.3,2.56,14.2
649,1,red,3.4,2.59,14.2
649,1,red,3.5,2.54,14.22
649,1,red,3.6,2.52,14.21
649,1,red,3.7,2.42,14.2
649,1,red,3.8,2.33,14.13
649,1,red,3.9,2.41,14.15
649,1,red,4.0,2.46,14.16
649,1,red,4.1,2.59,14.11
649,1,red,4.2,2.9,14.14
649,1,red,4.3,3.45,14.14
649,1,red,4.4,4.17,14.17
649,1,red,4.5,4.72,14.14
649,1,red,4.6,5.25,14.23
649,1,red,4.7,6.01,14.3
649,1,red,4.8,6.63,14.32
649,1,red,4.9,7.07,14.36
649,1,red,5.0,7.46,14.41
649,1,red,5.1,7.71,14.36
649,1,red,5.2,8.11,14.27
649,1,red,5.3,8.45,14.25
649,1,red,5.4,9.05,14.21
649,1,red,5.5,9.77,14.21
649,1,red,5.6,10.64,14.32
649,1,red,5.7,11.66,14.45
649,1,red,5.8,12.64,14.55
649,1,red,5.9,13.51,14.62
649,1,red,6.0,13.96,14.69
649,1,red,6.1,14.34,14.73
649,1,red,6.2,14.59,14.73
649,1,red,6.3,14.72,14.73
649,1,red,6.4,14.79,14.72
649,1,red,6.5,14.66,14.78
649,1,red,6.6,14.7,14.81
649,1,red,6.7,14.65,14.91
649,1,red,6.8,14.64,14.84
649,1,red,6.9,14.57,14.8
649,1,red,7.0,14.5,14.72
649,1,red,7.1,14.62,14.63
649,1,red,7.2,14.64,14.53
649,1,red,7.3,14.66,14.41
649,1,red,7.4,14.63,14.42
649,1,red,7.5,14.72,14.37
649,1,red,7.6,14.69,14.46
649,1,red,7.7,14.66,14.47
649,1,red,7.8,14.4,14.58
649,1,red,7.9,14.4,14.56
649,1,red,8.0,14.22,14.66
649,1,red,8.1,14.08,14.76
649,1,red,8.2,14.1,14.73
649,1,red,8.3,14.07,14.75
649,1,red,8.4,14.24,14.68
649,1,red,8.5,14.22,14.74
649,1,red,8.6,14.38,14.65
649,1,red,8.7,14.5,14.6
649,1,red,8.8,14.5,14.6
649,1,red,8.9,14.55,14.55
649,1,red,9.0,14.63,14.57
649,1,red,9.1,14.64,14.52
649,1,red,9.2,14.52,14.51
649,1,red,9.3,14.48,14.54
649,1,red,9.4,14.49,14.54
649,1,red,9.5,14.47,14.55
649,1,red,9.6,14.5,14.46
649,1,red,9.7,14.54,14.49
649,1,red,9.8,14.64,14.5
649,1,red,9.9,14.67,14.51
649,1,red,10.0,14.68,14.46
649,1,red,10.1,14.66,14.49
649,1,red,10.2,14.6,14.53
649,1,red,10.3,14.59,14.52
649,1,red,10.4,14.57,14.55
649,1,red,10.5,14.54,14.52
649,1,red,10.6,14.6,14.5
649,1,red,10.7,14.66,14.48
649,1,red,10.8,14.71,14.47
649,1,red,10.9,14.71,14.5
649,1,red,11.0,14.7,14.45
649,1,red,11.1,14.67,14.5
649,1,red,11.2,14.62,14.56
649,1,red,11.3,14.58,14.57
649,1,red,11.4,14.54,14.61
649,1,red,11.5,14.52,14.55
649,1,red,11.6,14.59,14.59
649,1,red,11.7,14.62,14.55
649,1,red,11.8,14.62,14.59
649,1,red,11.9,14.65,14.58
649,1,red,12.0,14.62,14.63
649,1,red,12.1,14.54,14.73
649,1,red,12.2,14.54,14.7
649,1,red,12.3,14.44,14.75
649,1,red,12.4,14.12,14.83
649,1,red,12.5,13.95,14.94
649,1,red,12.6,14.0,14.9
649,1,red,12.7,14.11,14.85
649,1,red,12.8,14.11,14.88
649,1,red,12.9,14.07,14.91
649,1,red,13.0,14.36,14.89
649,1,red,13.1,14.53,14.78
649,1,red,13.2,14.56,14.81
649,1,red,13.3,14.56,14.78
649,1,red,13.4,14.55,14.77
649,1,red,13.5,14.75,14.62
649,1,red,13.6,14.8,14.55
649,1,red,13.7,14.76,14.58
649,1,red,13.8,14.74,14.56
649,1,red,13.9,14.7,14.6
649,1,red,14.0,14.53,14.66
649,1,red,14.1,14.58,14.71
649,1,red,14.2,14.6,14.64
649,1,red,14.3,14.68,14.6
649,1,red,14.4,14.62,14.58
649,1,red,14.5,14.58,14.55
649,1,red,14.6,14.58,14.58
649,1,red,14.7,14.38,14.63
649,1,red,14.8,14.05,14.76
649,1,red,14.9,14.08,14.8
649,1,red,15.0,14.0,14.88
649,1,red,15.1,14.05,14.82
649,1,red,15.2,14.24,14.69
649,1,red,15.3,14.34,14.61
649,1,red,15.4,14.61,14.52
649,1,red,15.5,14.54,14.5
649,1,red,15.6,14.59,14.42
649,1,red,15.7,14.47,14.47
649,1,red,15.8,14.22,14.63
649,1,red,15.9,14.04,14.73
649,1,red,16.0,13.89,14.8
254,1,red,0,5.12,17.58
254,1,red,0.1,5.08,17.58
254,1,red,0.2,5.09,17.54
254,1,red,0.3,5.08,17.55
254,1,red,0.4,5.05,17.56
254,1,red,0.5,4.99,17.61
254,1,red,0.6,5.03,17.57
254,1,red,0.7,5.05,17.58
254,1,red,0.8,5.06,17.57
254,1,red,0.9,5.12,17.54
254,1,red,1.0,5.15,17.53
254,1,red,1.1,5.11,17.46
254,1,red,1.2,5.1,17.47
254,1,red,1.3,5.08,17.47
254,1,red,1.4,5.04,17.46
254,1,red,1.5,4.98,17.47
254,1,red,1.6,4.96,17.44
254,1,red,1.7,5.02,17.48
254,1,red,1.8,5.05,17.49
254,1,red,1.9,5.06,17.49
254,1,red,2.0,5.07,17.48
254,1,red,2.1,5.08,17.46
254,1,red,2.2,5.09,17.49
254,1,red,2.3,5.04,17.47
254,1,red,2.4,4.97,17.46
254,1,red,2.5,4.95,17.42
254,1,red,2.6,4.96,17.48
254,1,red,2.7,5.02,17.56
254,1,red,2.8,4.96,17.55
254,1,red,2.9,4.98,17.59
254,1,red,3.0,5.08,17.66
254,1,red,3.1,5.08,17.71
254,1,red,3.2,5.25,17.69
254,1,red,3.3,5.52,17.66
254,1,red,3.4,5.95,17.64
254,1,red,3.5,6.35,17.65
254,1,red,3.6,6.78,17.59
254,1,red,3.7,7.45,17.61
254,1,red,3.8,7.97,17.71
254,1,red,3.9,8.43,17.8
254,1,red,4.0,8.87,18.12
254,1,red,4.1,9.39,18.5
254,1,red,4.2,9.8,18.96
254,1,red,4.3,10.1,19.42
254,1,red,4.4,10.56,19.89
254,1,red,4.5,11.02,20.45
254,1,red,4.6,11.49,20.96
254,1,red,4.7,11.83,21.44
254,1,red,4.8,12.28,21.89
254,1,red,4.9,12.72,22.38
254,1,red,5.0,13.03,22.83
254,1,red,5.1,13.23,23.18
254,1,red,5.2,13.38,23.49
254,1,red,5.3,13.55,23.69
254,1,red,5.4,13.64,23.86
254,1,red,5.5,13.78,23.99
