Team,Match,Alliance,Time,X,Y
649,1,red,3.6,3,15
649,1,red,133.2,6,18
254,1,red,20.1,24,24
254,1,red,31.0,18,24
254,1,red,119.9,9,24
254,1,red,136.6,15,15
254,1,red,140.3,12,15
254,1,red,146.2,6,15
1983,1,red,44.1,18,3
1983,1,red,75.6,3,0
1983,1,red,145.6,0,12
5026,1,blue,4.0,54,9
5026,1,blue,11.3,48,9
5026,1,blue,20.3,45,9
5026,1,blue,95.3,15,21
5026,1,blue,125.1,51,12
604,1,blue,3.8,54,18
604,1,blue,51.9,51,3
604,1,blue,64.9,39,3
604,1,blue,77.9,54,3
604,1,blue,114.3,39,6
2930,1,blue,61.7,51,24
2930,1,blue,119.8,30,24
971,2,red,97.9,18,24
971,2,red,138.8,6,15
971,2,red,151.3,3,15
5507,2,red,47.1,45,21
5507,2,red,50.8,42,21
5507,2,red,77.7,39,24
5507,2,red,139.3,6,18
2733,2,blue,3.9,51,9
2733,2,blue,10.7,45,6
2733,2,blue,109.1,48,3
2733,2,blue,138.6,42,6
3309,2,blue,19.6,54,27
3309,2,blue,44.0,54,24
3309,2,blue,47.7,45,21
3309,2,blue,51.4,45,24
3309,2,blue,77.8,42,24
3309,2,blue,138.7,48,15
3309,2,blue,150.8,51,15
696,2,blue,17.2,45,18
696,2,blue,20.9,42,18
696,2,blue,30.8,48,18
696,2,blue,132.8,9,15
696,2,blue,139.1,9,12
2046,3,red,42.3,24,21
2046,3,red,67.1,30,27
2046,3,red,95.3,30,24
2046,3,red,99.0,30,27
2046,3,red,113.9,30,24
2046,3,red,123.7,30,27
115,3,red,17.6,12,12
115,3,red,121.5,6,24
115,3,red,125.2,3,24
115,3,red,138.7,24,21
115,3,red,142.4,21,18
115,3,red,146.1,12,18
3476,3,red,95.6,6,9
3476,3,red,149.7,18,24
1868,3,blue,3.8,54,18
1868,3,blue,26.0,30,9
1868,3,blue,76.5,18,6
1868,3,blue,90.1,18,3
1868,3,blue,95.6,18,6
1868,3,blue,131.6,48,18
1868,3,blue,144.3,51,18
1868,3,blue,152.2,54,18
114,3,blue,3.8,51,9
114,3,blue,27.3,48,3
114,3,blue,95.3,45,9
114,3,blue,101.1,48,9
114,3,blue,113.9,45,9
114,3,blue,137.9,48,9
114,3,blue,145.2,45,9
846,3,blue,21.5,54,27
846,3,blue,36.9,54,24
846,3,blue,85.7,51,27
